timestamp	bpm	error	reset
19:01:05.188874	0	2	0
19:02:01.124481	89	0	0
19:03:13.123067	81	0	0
19:03:57.922163	52	0	0
19:05:03.355924	78	0	0
19:07:28.255586	62	0	0
19:08:48.789436	89	0	0
19:13:18.188897	67	0	0
19:13:58.288959	52	0	0
19:14:44.122288	94	0	0
19:15:40.188925	56	0	0
19:16:38.556099	86	0	0
19:17:15.222382	94	0	0
19:18:25.022114	91	0	0
19:18:52.689381	0	2	0
19:19:22.156071	0	2	0
19:20:08.989643	49	0	0
19:20:53.122590	66	0	0
19:21:33.455680	84	0	0
19:27:36.922676	0	2	0
19:29:25.089097	47	0	0
19:31:34.722373	77	0	0
19:32:21.288901	55	0	0
19:33:22.155567	100	0	0
19:46:34.456055	70	0	0
19:47:12.522635	77	0	0
19:48:50.188686	0	2	0
19:49:31.322960	70	0	0
19:50:44.255394	0	2	0
19:52:15.488978	93	0	0
19:55:36.156311	75	0	0
19:56:36.655942	85	0	0
19:57:16.488962	69	0	0
19:57:59.622728	77	0	0
19:59:42.722964	70	0	0
20:00:28.456297	0	2	0
20:01:09.455548	75	0	0
20:02:16.922755	82	0	0
20:02:55.122377	0	2	0
20:03:54.555837	97	0	0
20:04:44.622121	100	0	0
20:05:21.789501	72	0	0
20:05:53.822734	0	2	0
20:07:03.022375	0	2	0
20:07:48.889712	87	0	0
20:09:07.822593	100	0	0
20:09:35.622860	0	2	0
20:10:47.256022	56	0	0
20:11:21.822833	0	2	0
20:11:49.189000	0	2	0
20:12:29.822158	69	0	0
20:13:28.522425	74	0	0
20:14:39.089397	67	0	0
20:15:36.188842	83	0	0
20:17:06.489383	81	0	0
20:17:38.622627	0	2	0
20:18:59.688944	62	0	0
20:20:13.988705	0	2	0
20:21:54.022265	76	0	0
20:22:29.122209	0	2	0
20:23:31.322229	104	0	0
20:24:10.856174	74	0	0
20:25:28.222692	74	0	0
20:26:12.355639	63	0	0
20:27:56.156088	46	0	0
20:31:03.222361	73	0	0
20:32:32.989594	64	0	0
20:33:29.689404	65	0	0
20:34:34.421993	0	2	0
20:35:26.722782	44	0	0
20:37:24.756081	82	0	0
20:38:36.389242	0	2	0
20:39:40.189633	66	0	0
20:41:04.988742	54	0	0
20:41:41.288924	0	2	0
20:43:23.222900	50	0	0
20:44:36.789546	91	0	0
20:45:50.622183	90	0	0
20:47:16.922648	93	0	0
20:48:30.222252	89	0	0
20:49:44.589290	81	0	0
20:51:07.455993	0	2	0
20:52:16.255497	0	2	0
20:53:41.922915	55	0	0
20:58:03.555939	63	0	0
20:59:18.889000	71	0	0
21:00:26.389214	67	0	0
21:01:23.522103	0	2	0
21:02:38.956116	87	0	0
21:05:01.189211	64	0	0
21:05:55.422434	62	0	0
21:06:22.689580	0	2	0
21:07:08.122918	41	0	0
21:08:28.756088	68	0	0
21:09:01.889555	0	1	0
21:09:42.488734	0	2	0
21:12:38.922578	0	2	0
21:13:06.622907	0	2	0
21:14:31.922144	61	0	0
21:16:58.989445	86	0	0
21:17:50.656095	60	0	0
21:19:37.922631	106	0	0
21:20:36.655869	98	0	0
21:21:01.722874	0	2	0
21:21:29.456233	0	2	0
21:22:01.122368	0	2	0
21:22:11.622734	0	1	0
21:22:39.922113	0	2	0
21:23:58.089732	70	0	0
21:24:25.956026	0	2	0
21:25:23.556029	76	0	0
21:26:49.888968	0	2	0
21:27:15.055743	0	2	0
21:30:46.222396	93	0	0
21:31:32.922923	58	0	0
21:32:26.589042	63	0	0
21:34:31.289211	82	0	0
21:36:24.355742	76	0	0
21:37:16.655530	44	0	0
21:38:25.356063	97	0	0
21:40:09.155456	91	0	0
21:40:59.189748	64	0	0
21:41:52.189692	79	0	0
21:43:17.722473	87	0	0
21:44:55.755567	85	0	0
21:45:53.922676	84	0	0
21:46:56.355773	79	0	0
21:47:56.522334	53	0	0
21:48:58.556408	76	0	0
21:49:51.689428	75	0	0
21:50:43.756159	0	2	0
21:52:10.856038	60	0	0
21:52:39.655529	0	2	0
21:53:07.855907	0	2	0
21:55:34.422323	74	0	0
21:56:36.189246	0	1	0
21:58:05.122976	73	0	0
21:59:49.689562	58	0	0
22:01:08.622763	83	0	0
22:01:47.755583	104	0	0
22:04:30.289411	63	0	0
22:04:55.089000	0	1	0
22:05:34.455873	0	2	0
22:06:51.822338	103	0	0
22:07:45.722486	83	0	0
22:08:14.022866	0	2	0
22:09:04.156216	72	0	0
22:09:47.489045	85	0	0
22:10:42.156366	74	0	0
22:12:30.355852	64	0	0
22:13:11.089033	0	2	0
22:14:41.389499	56	0	0
22:15:31.889417	81	0	0
22:20:12.089138	40	0	0
22:21:11.155576	80	0	0
22:22:05.955969	0	1	0
22:22:45.756205	59	0	0
22:26:24.422658	97	0	0
22:26:54.389459	0	2	0
22:27:29.855966	0	2	0
22:29:15.389776	94	0	0
22:29:29.521961	0	1	0
22:29:58.589513	0	2	0
22:30:23.722177	0	2	0
22:31:49.988644	0	2	0
22:32:02.889553	0	1	0
22:32:31.221938	0	2	0
22:33:13.289421	0	1	0
22:35:40.822697	55	0	0
22:36:51.189559	90	0	0
22:37:48.655548	90	0	0
22:39:40.022363	98	0	0
22:40:35.422863	79	0	0
22:41:13.755329	0	2	0
22:42:10.189048	60	0	0
22:45:29.522538	107	0	0
22:46:27.889725	91	0	0
22:48:15.155937	70	0	0
22:49:53.622899	0	2	0
22:51:18.622097	71	0	0
22:51:44.355929	0	2	0
22:53:06.489631	61	0	0
22:53:32.922662	0	2	0
22:54:01.489207	0	2	0
22:54:29.955776	0	2	0
22:55:12.855564	0	2	0
22:55:40.188769	0	2	0
22:56:08.722199	0	2	0
22:56:54.155577	0	2	0
22:58:13.123018	109	0	0
22:59:00.588958	87	0	0
23:03:16.955728	55	0	0
23:05:19.989457	84	0	0
23:07:37.822616	103	0	0
23:09:28.489585	106	0	0
23:10:21.055431	78	0	0
23:10:50.188997	0	2	0
23:11:51.255841	93	0	0
23:12:47.622544	76	0	0
23:13:50.722766	0	2	0
23:14:44.156238	71	0	0
23:16:46.622841	86	0	0
23:17:35.788945	0	2	0
23:18:05.722714	0	2	0
23:18:38.422083	0	2	0
23:18:51.355998	0	1	0
23:19:39.422847	71	0	0
23:20:25.822447	0	2	0
23:21:24.388806	0	2	0
23:22:36.922249	0	2	0
23:23:56.156210	101	0	0
23:27:20.622371	66	0	0
23:27:58.622937	92	0	0
23:29:01.589234	61	0	0
23:30:25.156114	64	0	0
23:32:59.688996	90	0	0
23:34:16.389400	35	0	0
23:35:38.922020	0	2	0
23:37:08.956341	74	0	0
23:37:59.989391	69	0	0
23:38:52.922322	65	0	0
23:48:14.456019	0	2	0
23:48:45.421998	0	2	0
23:49:11.155827	0	2	0
23:51:28.788971	0	2	0
23:55:19.389022	103	0	0
